"name","start time","end time","deck","notes","artist","genre","bpm","key"
"1/20/2025","1/20/2025 8:04:14 PM","1/20/2025 9:52:32 PM","","","","","",""
"Magalenha","8:04:14 PM","8:07:39 PM","1","","Low Disco","House","123","Am"
"On My Mind (MK Remix)","8:04:38 PM","8:10:36 PM","2","","Diplo & SIDEPIECE","House","123","8A"
"I Wish (Alok & FractaLL Remix)","8:07:39 PM","8:13:08 PM","1","","Infected Mushroom","House","124","Ebm"
"Rumble","8:10:36 PM","8:14:15 PM","2","","Schade","House","124","Ebm"
"All Night (Damien N Drix Remix)","8:13:08 PM","8:16:27 PM","1","","Afrojack & Ally Brooke","House","124","4A"
"Magenta Riddim (Funky Fool Flip)","8:14:15 PM","8:18:13 PM","2","","DJ Snake","Bass House","124","Fm"
"Palm Sprung","8:16:27 PM","8:21:59 PM","1","","Hotel Garuda","Other","124","Fm"
"The Box (AYOR Remix)","8:18:13 PM","8:19:23 PM","2","","Roddy Ricch","House","124","Fm"
"The Box (AYOR Remix)","8:20:09 PM","8:25:18 PM","2","","Roddy Ricch","House","124","Fm"
"Dollaz (Rome in Silver Edit)","8:21:59 PM","8:28:21 PM","1","","TNGHT","","83","Fm"
"Baby Come Back (WorldCAT Trap Remix)","8:25:18 PM","8:31:37 PM","2","","Kill Paris","","83","Cm"
"Faded(Nikadon Remix)","8:28:38 PM","8:30:23 PM","1","","Zhu","Trap","83","Dm"
"Falling","8:30:23 PM","8:36:50 PM","1","","Kotek","Future Bass","83","Dm"
"A Boy Brushed Blue Living In Black And White","8:31:37 PM","8:40:00 PM","2","","Luca Lush","Future Bass","83","Em"
"Angel Voices (Among the Others Flip)","8:36:50 PM","8:42:21 PM","1","","Virtual Self","","83","Em"
"Babylon (William. Remix)","8:40:00 PM","8:44:06 PM","2","","Ekali x Denzel Curry","Trap","83","Em"
"How Could This Be Wrong [ilasan Remix]","8:42:21 PM","8:48:44 PM","1","","The Glitch Mob","","85","Fm"
"The Glitch Mob (Quackson Remix)","8:44:15 PM","8:51:38 PM","2","","How Could This Be Wrong","","85","Fm"
"P U L S A R B E A M","8:48:44 PM","8:59:28 PM","1","","1788-L","","85","Fm"
"Pure Evil (Jaiko Remix)","8:51:38 PM","9:01:16 PM","2","","Jauz & Sullivan King","Trap","85","Fm"
"Distancing","8:59:28 PM","9:01:16 PM","1","","Juelz","Future Bass","85","4A"
"Core (GAWM Remix)","9:01:16 PM","9:04:59 PM","2","","RL Grime","Midtempo","85","4A"
"Work","9:03:02 PM","9:08:39 PM","1","","Apashe & Young Buck","Midtempo","86","Ebm"
"d-shadows","9:04:59 PM","9:09:49 PM","2","","Razat","DubStep","86","Ebm"
"There Are No Penguins In Alaska (OCULUS FLIP)","9:08:39 PM","9:13:12 PM","1","","graves","Trap","86","Dm"
"The Smile That She Shows","9:09:49 PM","9:11:05 PM","2","","Daily Bread","","86","Am"
"Circles","9:11:05 PM","9:20:44 PM","2","","Monsta","Drum & Bass","86","Bm"
"Breathe (Sub Focus Remix)","9:15:00 PM","9:16:51 PM","1","","Eric Prydz Ft. Rob Swire","Drum & Bass","87","1A"
"I Do Coke (Reaper Remix)","9:16:51 PM","9:24:10 PM","1","","Kill The Noise","","87","Bm"
"Mayday (The Upbeats Remix)","9:20:44 PM","9:26:42 PM","2","","PhaseOne & Modestep","Extreme Jams","87","Bm"
"Ghost Voices (Mountain Terrance)","9:24:10 PM","9:29:52 PM","1","","Virtual Self","","87","Bm"
"Only One (it's different Remix)","9:28:22 PM","9:32:25 PM","2","","Illenium","Drum & Bass","87","A"
"Line of Sight ft. WYNNE & Mansionair (TOO KIND Flip)","9:29:52 PM","9:37:52 PM","1","","ODESZA","","87","F#m"
"FLUTE (ALCEMIST Edit)","9:32:25 PM","9:41:13 PM","2","","MONSS","Extreme Jams","87","Cm"
"Combover","9:38:05 PM","9:43:10 PM","1","","Cursory","Drum & Bass","88","Cm"
"Mars Attacks VIP","9:41:24 PM","9:45:33 PM","2","","Bleep Bloop & ZEKE BEATS","Bass","88","Cm"
"Grams","9:43:10 PM","9:52:32 PM","1","","Woofax","Electronic","88","Cm"
"4 Me (CORTR Remix)","9:45:33 PM","9:46:36 PM","2","","CORTR","","88","Gm"
"summit (sakuraburst remix)","9:47:09 PM","9:52:32 PM","2","","skrillex","","88","Gm"
