"name","playtime","deck","notes","length","key","bpm","artist"
"4/5/24","01:07:14","","","01:07:14","","",""
"Dollaz (Rome in Silver Edit)","00:03:53","1","","","4A","83","TNGHT"
"Snap Yo Fingers (Fabian Mazur Flip)","00:04:14","2","","","4A","85","Lil Jon"
"Meta (feat. Bbno$) [woodpile Flip]","00:03:47","1","","","Fm","75","graves"
"Vertebreaker (TYNAN Flip)","00:02:41","2","","","Fm","75","Herobust"
"Feel The Volume (Cherney Remix)","00:03:06","1","","","Fm","75","Jauz"
"Murder (Alexander Lewis & Y2K Remix)","00:04:14","2","","","Fm","75","Lido"
"Leave This World","00:02:42","1","","","Fm","75","MayFlwr"
"Aki ","00:05:47","2","","","Fm","75","Qoiet"
"Dog Fight","00:02:46","1","","","Fm","75","Virtual Riot"
"Divide & Conquer (LOLO BX Booty)","00:04:13","1","","","Fm","75","What So Not"
"Red Lips (kid Remix)","00:04:39","2","","","Cm","75","GTA feat Sam Bruno"
"Can You Tell (Ray Volpe Remix)","00:04:54","1","","","Cm","75","Oliverse"
"Would U Ever (BENZI x KAYZO EDIT)","00:03:35","2","","","5A","75","Skrillex"
"Honey Jar (Shadient Remix)","00:03:02","1","","","Eb","75","Wavedash & Tucker Kreway"
"MDR (KAYVIAN Remix)","00:03:20","2","","","Gm","75","Party Favor X Baauer"
"Ritual ft. Wrabel (Ray Volpe Remix)","00:07:21","1","","","Gm","75","marshmello"
"If It Means A Lot To You (Cherney Remix)","00:01:34","2","","","Gm","75","A Day To Remember"
"Lions","00:07:28","2","","","Gm","75","Black Tiger Sex Machine"
"Say Less ft. G-Eazy (Ciesta HARD TRAP Remix)","00:00:53","1","","","Gm","75","Dillon Francis"
"Bongo (Dirtcaps Edit)","00:03:53","1","","","Cm","75","Luca Rezza"
"U MAKE (EXTENDED MIX)","00:05:24","2","","","Gm","75","SUBSHOCK AND EVANGELOS"
"Gassed Up","00:04:59","1","","","G#m","75","Jauz & DJ Snake"
"1234","00:02:26","2","","","G#m","125","k?d"
"Deep Inside","00:04:09","1","","","G#m","125","Matroda"
"Ether","00:09:09","2","","","G#m","125","Satisfye"
"The Longest Road (Deadmau5 Remix) ","00:08:21","1","","","Ebm","125","Deadmau5"
"Strobelights","00:06:11","2","","","Ebm","125","Krewella"
"I Ware House (Matroda Remix)","00:07:23","1","","","Ebm","125","JOYRYDE"
"Selecta (Nght Klub Remix)","00:04:42","2","","","2A","126","Skrillex & BEAM"
"Demons","00:01:24","1","","","5A","","What So Not, James Earl, Rome Fortune, & Tommy Swisher"
