"name","start time","end time","deck","artist","genre","bpm","key"
"5/22/2022","5/22/2022 10:36:14 PM","5/23/2022 12:31:37 AM","","","","",""
"Lick It (Meaux Green Lick iIt Good Edit)","10:36:14 PM","10:40:49 PM","1","Valentino Khan","House","125","Fm"
"Smack","10:37:48 PM","10:43:27 PM","2","WDMA","House","125","Cm"
"I Like Big Butts (Axilon Remix)","10:40:49 PM","10:45:09 PM","1","Sir MixALot","","125","Cm"
"No Brakes","10:43:27 PM","10:49:00 PM","2","No Etiquette","","125","Gm"
"Hustler","10:45:52 PM","10:49:30 PM","1","NuKid","","125","Fm"
"Bring The House","10:49:00 PM","10:53:16 PM","2","PBH & Jack Shizzle","Bass House","125","Fm"
"Lose My Control","10:49:30 PM","10:52:11 PM","1","Qlank","House","125","Fm"
"Afterparty","10:52:11 PM","10:54:31 PM","1","BURN THE DISCO","House","124","Fm"
"Let Me","10:53:16 PM","11:00:00 PM","2","Art Supplies","Deep House","124","Fm"
"Like The Groove","10:54:31 PM","11:01:42 PM","1","Dillon Nathaniel","Deep House","124","Fm"
"Magenta Riddim (Funky Fool Flip)","11:00:00 PM","11:02:39 PM","2","DJ Snake","Bass House","124","Fm"
"Dilate","11:01:42 PM","11:05:32 PM","1","Nicky Genesis & Nina Sung","House","124","Fm"
"This Groove","11:02:39 PM","11:08:09 PM","2","Martin Lorenzo","House","124","Fm"
"G6 (RMX)","11:05:32 PM","11:09:44 PM","1","LOthief & MOJJO","House","124","Fm"
"Please Oh Please Oh Please","11:08:09 PM","11:11:36 PM","2","Claude VonStroke","House","124","4A"
"Octane","11:09:44 PM","11:13:20 PM","1","Cloverdale","House","124","Fm"
"Red Alert (The Cube Guys Remix)","11:11:36 PM","11:16:31 PM","2","Basement Jaxx","House","125","4A"
"Hate Machine (Galixi Remix)","11:13:32 PM","11:18:34 PM","1","X&G x Nate Lowpass","","125","Fm"
"March","11:16:31 PM","11:20:47 PM","2","Alexander Lewis","Trap","73","Fm"
"Run (Shynee Remix)","11:18:34 PM","11:23:23 PM","1","Xilent","","75","Fm"
"Divide & Conquer (LOLO BX Booty)","11:20:47 PM","11:24:58 PM","2","What So Not","","75","Fm"
"Bloom","11:23:23 PM","11:30:08 PM","1","sumthin sumthin","Trap","73","Fm"
"Hilow (Charlesthefirst Remix)","11:24:58 PM","11:28:29 PM","2","Minnesota","Electronic","73","Fm"
"Out My Head (145 Remix)","11:28:29 PM","11:32:10 PM","2","Fox Stevenson","","73","Fm"
"Goooo (blush Remix)","11:30:08 PM","11:33:59 PM","1","TNGHT","Trap","73","Fm"
"Tell Me (Baauer X Ganz X What So Not) (Ekali Mash)","11:32:10 PM","11:35:02 PM","2","What So Not","","73","Fm"
"I'm A Dragon (Snavs Remix)","11:33:59 PM","11:37:09 PM","1","Apashe","","73","Fm"
"Royal","11:35:02 PM","11:38:31 PM","2","Deon Custom x KRNE","","71","Fm"
"Axen","11:37:09 PM","11:39:59 PM","1","Without You","Bass","70","Fm"
"Lost Vs. Disarm You Vs. Chosen You (Illenium Trap Edit)","11:38:31 PM","11:41:44 PM","2","Illenium","","70","4A"
